x,y
0.6337,4.8605
13.9053,3465.0872
62.9954,265868.4018
31.6177,35609.423
86.4235,675378.2834
79.8494,534619.9846
48.8158,125861.9741
88.8687,733446.4412
17.8495,6964.3489
67.3748,323999.5193
40.257,71726.8972
53.5583,165108.0609
45.7859,104371.8374
70.0387,363194.4971
99.5067,1024883.5546
75.3145,449896.2792
55.5244,183514.096
42.7522,85454.1002
13.9887,3523.0836
30.5886,32366.4027
16.0641,5180.6606
26.0316,20353.8332
46.5055,109234.4341
71.9266,392804.2198
57.307,201340.6969
39.851,69642.8146
55.2626,180988.6502
91.0235,787298.8175
16.3872,5477.8131
78.9383,516812.3367
89.2502,742797.4405
52.6753,157259.6225
23.1664,14582.7681
59.1447,220888.8473
62.7116,262362.6693
95.3177,902349.9727
68.0613,333815.8305
49.3856,130207.3951
87.2844,695459.2284
64.3413,282923.0724
61.198,244181.686
3.4245,90.0699
64.5736,285937.2662
81.6989,572019.1135
50.4808,138837.2078
55.0487,178941.3087
36.7235,54923.5313
5.1879,250.2878
14.6399,3998.0639
85.8889,663105.3118
